learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.2;2000.0;0.5;0.305;a,a;74.5656;0.1041;82.0502;37.646;reports/run_1/Feb 18, 2016 1:51:26 AMdabc52c7-d900-469d-9706-8ec78fbd3530
0.1;2000.0;0.8;0.3077;a,a;74.5656;0.1051;82.7652;38.0276;reports/run_1/Feb 18, 2016 2:56:57 AM66f32e11-d9b4-4948-8588-8e570bd85158
0.5;2000.0;0.2;0.3042;a;74.5656;0.1052;81.8324;38.0422;reports/run_1/Feb 17, 2016 6:15:13 PM512069b7-bd20-4512-a169-e6cb124b1c06
0.5;1000.0;0.5;0.299;a;74.5656;0.1032;80.4262;37.3369;reports/run_1/Feb 17, 2016 6:53:17 PM5f03ccc7-b58b-470b-afb9-12cc358006e2
0.2;2000.0;0.8;0.2976;t;74.6182;0.1023;80.0611;36.9925;reports/run_1/Feb 17, 2016 11:03:05 PM9045fa77-a8dc-4734-9cfc-a60d3b95cea4
0.8;3000.0;0.2;0.3034;a;74.6182;0.1037;81.6161;37.522;reports/run_1/Feb 17, 2016 6:27:41 PMbf69c060-b2cd-4711-b2ef-5ebb293adc4d
0.2;1000.0;0.2;0.3014;a,a;74.6182;0.1025;81.0899;37.0766;reports/run_1/Feb 18, 2016 12:29:21 AM29fae54f-109b-4b1a-99e9-510e4f443397
0.1;3000.0;0.8;0.3014;a,t;74.6709;0.1031;81.0932;37.2967;reports/run_1/Feb 18, 2016 4:38:11 PMc93f1fe2-ef29-461f-b5b0-906492d2a12d
0.5;3000.0;0.5;0.3057;a;74.6709;0.1044;82.2316;37.7729;reports/run_1/Feb 17, 2016 6:53:55 PM40e74e9f-949c-40e0-96f1-f0ef838b5d0c
0.1;1000.0;0.5;0.3041;a,t;74.6709;0.1029;81.8024;37.2065;reports/run_1/Feb 18, 2016 2:07:47 PM8a815e68-c3d4-4d33-b0c5-836668f87bd9
0.8;3000.0;0.5;0.3041;a;74.6709;0.1028;81.7964;37.1659;reports/run_1/Feb 17, 2016 7:07:38 PM7707a589-411e-416f-9d8b-f5416e6f7d27
0.8;500.0;0.2;0.2941;a;74.6709;0.1041;79.1071;37.6438;reports/run_1/Feb 17, 2016 6:15:17 PM89bd10b9-c463-4417-9040-5f7ed2ef8820
0.8;3000.0;0.5;0.3034;t;74.6709;0.1022;81.6192;36.9648;reports/run_1/Feb 17, 2016 10:20:14 PM0b139d00-3740-4391-8d7a-159888042600
0.8;2000.0;0.2;0.3001;t;74.7235;0.1038;80.7391;37.5258;reports/run_1/Feb 17, 2016 8:47:07 PMc49f6c1c-3071-46d1-b6d5-a1bfed2083b9
0.8;1000.0;0.5;0.3057;t;74.7235;0.1055;82.2266;38.1722;reports/run_1/Feb 17, 2016 10:19:02 PM4217b67e-15ec-47b3-8e06-120539519f10
0.2;2000.0;0.8;0.3004;t,a;74.7762;0.1027;80.8235;37.1505;reports/run_1/Feb 18, 2016 10:04:47 AMae593ae3-c99d-4635-9fc1-f4148ab2e7c3
0.2;3000.0;0.8;0.3052;a;74.7762;0.1029;82.1042;37.2111;reports/run_1/Feb 17, 2016 7:29:17 PM5fe3936c-1601-444c-99d9-69a2053a2905
0.5;500.0;0.2;0.2995;a,t;74.8289;0.1044;80.5663;37.748;reports/run_1/Feb 18, 2016 12:58:06 PM34e83635-aa08-4262-8c77-2028ad411b8d
0.1;3000.0;0.8;0.3039;a,a;74.8289;0.1023;81.742;36.9875;reports/run_1/Feb 18, 2016 2:57:20 AM6d11efd2-7f0a-48db-a5e9-2f3f8f034169
0.5;2000.0;0.2;0.3032;a,a;74.8289;0.1027;81.5655;37.1568;reports/run_1/Feb 18, 2016 12:52:06 AMae2bc62f-ce9c-4fbb-ad54-7d3dc9134ebd
0.1;1000.0;0.8;0.2979;t,a;74.8289;0.1028;80.1504;37.1808;reports/run_1/Feb 18, 2016 9:25:52 AMaf65a7fd-3672-480d-a23e-2639fb4f0cb2
0.8;500.0;0.5;0.284;t,a;74.8815;0.1148;76.4077;41.5194;reports/run_1/Feb 18, 2016 8:20:43 AM3fdff890-9e3d-46c1-b80c-54c5f13d81a0
0.2;1000.0;0.8;0.2974;t,a;74.8815;0.1049;80.0119;37.9511;reports/run_1/Feb 18, 2016 10:01:44 AM90ad866a-66fb-4536-930a-d864a82a8768
